sample_id,filename,channel,min,max,mean,original_length
ksas_m0_p14_i,0-14-i.csv,accelerometer_x,-2.823,-2.253,-2.5323870967741935,31
ksas_m0_p14_i,0-14-i.csv,accelerometer_y,-3.457,-2.466,-2.926225806451613,31
ksas_m0_p14_i,0-14-i.csv,accelerometer_z,7.183,10.049,8.85451612903226,31
ksas_m0_p14_i,0-14-i.csv,gravity_x,-2.628,-2.547,-2.586032258064516,31
ksas_m0_p14_i,0-14-i.csv,gravity_y,-3.238,-2.842,-2.9641290322580636,31
ksas_m0_p14_i,0-14-i.csv,gravity_z,8.893,9.021,8.982193548387096,31
ksas_m0_p14_i,0-14-i.csv,gyros_x,-0.132,0.049,-0.02758064516129032,31
ksas_m0_p14_i,0-14-i.csv,gyros_y,-0.066,0.101,0.023419354838709685,31
ksas_m0_p14_i,0-14-i.csv,gyros_z,-0.147,0.093,-0.041999999999999996,31
ksas_m0_p14_i,0-14-i.csv,lin_accel_x,-0.167,0.185,0.020064516129032275,31
ksas_m0_p14_i,0-14-i.csv,lin_accel_y,-0.287,0.15,-0.04080645161290322,31
ksas_m0_p14_i,0-14-i.csv,lin_accel_z,-0.296,0.114,-0.08161290322580643,31
ksas_m0_p14_i,0-14-i.csv,game_rot_vec_x,-0.214,0.0,-0.19774193548387095,31
ksas_m0_p14_i,0-14-i.csv,game_rot_vec_y,-0.026,0.0,-0.01677419354838711,31
ksas_m0_p14_i,0-14-i.csv,game_rot_vec_z,0.0,0.708,0.680451612903226,31
ksas_m0_p14_i,0-14-i.csv,magn_field_x,5.56,8.11,6.831290322580645,31
ksas_m0_p14_i,0-14-i.csv,magn_field_y,26.81,30.276,28.61312903225806,31
ksas_m0_p14_i,0-14-i.csv,magn_field_z,-46.82,-42.796,-44.96829032258065,31
ksas_m0_p15_d,0-15-d.csv,accelerometer_x,3.215,4.151,3.67609756097561,41
ksas_m0_p15_d,0-15-d.csv,accelerometer_y,-2.918,-0.378,-0.9269512195121952,41
ksas_m0_p15_d,0-15-d.csv,accelerometer_z,8.548,10.403,9.171634146341466,41
ksas_m0_p15_d,0-15-d.csv,gravity_x,3.194,3.675,3.5749756097560965,41
ksas_m0_p15_d,0-15-d.csv,gravity_y,-0.926,-0.594,-0.7777317073170734,41
ksas_m0_p15_d,0-15-d.csv,gravity_z,9.05,9.253,9.097658536585365,41
ksas_m0_p15_d,0-15-d.csv,gyros_x,-0.137,0.11,0.0225609756097561,41
ksas_m0_p15_d,0-15-d.csv,gyros_y,-0.074,0.163,0.007243902439024389,41
ksas_m0_p15_d,0-15-d.csv,gyros_z,-0.169,0.009,-0.06865853658536585,41
ksas_m0_p15_d,0-15-d.csv,lin_accel_x,-0.434,0.379,0.014609756097560975,41
ksas_m0_p15_d,0-15-d.csv,lin_accel_y,-0.633,0.443,-0.0822439024390244,41
ksas_m0_p15_d,0-15-d.csv,lin_accel_z,-0.926,0.389,-0.1602926829268293,41
ksas_m0_p15_d,0-15-d.csv,game_rot_vec_x,-0.047,0.0,-0.04048780487804877,41
ksas_m0_p15_d,0-15-d.csv,game_rot_vec_y,-0.191,0.0,-0.181390243902439,41
