fold,split,sample_index,sample_id,original_length,padding_fraction,dilation,effective_receptive_field_samples,receptive_field_exceeds_original_length,mean_absolute_feature_delta,max_absolute_feature_delta
3,train,43,ksas_m1_p10_i,26,0.5357142857142857,3,25,False,0.1645626276731491,0.41208791732788086
3,train,44,ksas_m1_p11_d,39,0.3035714285714286,3,25,False,0.08209538459777832,0.2646520137786865
3,train,45,ksas_m1_p11_i,39,0.3035714285714286,3,25,False,0.0758856013417244,0.23351651430130005
3,train,46,ksas_m1_p12_d,29,0.4821428571428571,3,25,False,0.1459331065416336,0.4322660267353058
3,train,47,ksas_m1_p12_i,33,0.4107142857142857,3,25,False,0.10883674770593643,0.31114718317985535
3,train,48,ksas_m1_p13_d,38,0.3214285714285714,3,25,False,0.0879523977637291,0.2453007698059082
3,train,49,ksas_m1_p13_i,34,0.3928571428571429,3,25,False,0.10493364185094833,0.3235294222831726
3,train,50,ksas_m1_p14_d,36,0.3571428571428571,3,25,False,0.09404657036066055,0.2678571343421936
3,train,51,ksas_m1_p14_i,37,0.3392857142857143,3,25,False,0.08375339955091476,0.2750965356826782
3,train,54,ksas_m1_p16_d,31,0.4464285714285714,3,25,False,0.13156954944133759,0.40322577953338623
3,train,55,ksas_m1_p16_i,37,0.3392857142857143,3,25,False,0.09141635149717331,0.30260616540908813
3,train,56,ksas_m1_p17_d,54,0.0357142857142857,3,25,False,0.01752864196896553,0.027777791023254395
3,train,57,ksas_m1_p17_i,52,0.0714285714285714,3,25,False,0.03131268545985222,0.061813175678253174
3,train,62,ksas_m1_p02_d,27,0.5178571428571428,3,25,False,0.16613565385341644,0.460317462682724
3,train,63,ksas_m1_p02_i,28,0.5,3,25,False,0.14778202772140503,0.4107142984867096
3,train,64,ksas_m1_p20_d,26,0.5357142857142857,3,25,False,0.16369865834712982,0.5151098966598511
3,train,65,ksas_m1_p20_i,29,0.4821428571428571,3,25,False,0.1420120894908905,0.4322660267353058
3,train,66,ksas_m1_p03_d,35,0.375,3,25,False,0.11085839569568634,0.375
3,train,67,ksas_m1_p03_i,28,0.5,3,25,False,0.14936460554599762,0.3928571343421936
3,train,68,ksas_m1_p04_d,29,0.4821428571428571,3,25,False,0.14947497844696045,0.4322660267353058
3,train,69,ksas_m1_p04_i,39,0.3035714285714286,3,25,False,0.0884920135140419,0.2568681240081787
3,train,72,ksas_m1_p06_d,36,0.3571428571428571,3,25,False,0.09068195521831512,0.2976190447807312
3,train,73,ksas_m1_p06_i,28,0.5,3,25,False,0.16106858849525452,0.5
3,train,74,ksas_m1_p07_d,24,0.5714285714285714,3,25,True,0.1833467036485672,0.523809552192688
3,train,75,ksas_m1_p07_i,29,0.4821428571428571,3,25,False,0.15184924006462097,0.4322660267353058
3,train,76,ksas_m1_p08_d,36,0.3571428571428571,3,25,False,0.09308468550443649,0.2876984477043152
3,train,77,ksas_m1_p08_i,36,0.3571428571428571,3,25,False,0.09960003197193146,0.2876984477043152
3,train,78,ksas_m1_p09_d,52,0.0714285714285714,3,25,False,0.028128452599048615,0.059065937995910645
3,train,79,ksas_m1_p09_i,38,0.3214285714285714,3,25,False,0.08775161951780319,0.26221805810928345
3,train,80,ksas_m2_p01_d,31,0.4464285714285714,3,25,False,0.12771712243556976,0.4464285969734192
3,train,81,ksas_m2_p01_i,30,0.4642857142857143,3,25,False,0.14189815521240234,0.4642857313156128
3,train,82,ksas_m2_p10_d,30,0.4642857142857143,3,25,False,0.1394762545824051,0.4642857313156128
3,train,83,ksas_m2_p10_i,20,0.6428571428571428,3,25,True,0.22438585758209229,0.5785714387893677
3,train,84,ksas_m2_p11_d,24,0.5714285714285714,3,25,True,0.18832671642303467,0.5714285373687744
3,train,85,ksas_m2_p11_i,20,0.6428571428571428,3,25,True,0.21420776844024658,0.6428571343421936
3,train,86,ksas_m2_p12_d,30,0.4642857142857143,3,25,False,0.14412716031074524,0.4178571105003357
3,train,87,ksas_m2_p12_i,25,0.5535714285714286,3,25,False,0.18090654909610748,0.5314285755157471
3,train,88,ksas_m2_p13_d,23,0.5892857142857143,3,25,True,0.20252268016338348,0.5892857313156128
3,train,89,ksas_m2_p13_i,25,0.5535714285714286,3,25,False,0.17491307854652405,0.5314285755157471
3,train,90,ksas_m2_p14_d,33,0.4107142857142857,3,25,False,0.11828747391700745,0.36093074083328247
3,train,91,ksas_m2_p14_i,33,0.4107142857142857,3,25,False,0.12578162550926208,0.36093074083328247
3,train,94,ksas_m2_p16_d,26,0.5357142857142857,3,25,False,0.18023577332496643,0.5357142686843872
3,train,95,ksas_m2_p16_i,32,0.4285714285714286,3,25,False,0.12889444828033447,0.4285714030265808
3,train,96,ksas_m2_p17_d,51,0.0892857142857143,3,25,False,0.037106744945049286,0.075280100107193
3,train,97,ksas_m2_p17_i,41,0.2678571428571429,3,25,False,0.0783669650554657,0.24172472953796387
3,train,102,ksas_m2_p02_d,27,0.5178571428571428,3,25,False,0.16914640367031097,0.5178571343421936
